Team,PowerRating,ORtg,DRtg,MOV,SRS,OffensiveRating,DefensiveRating
Milwaukee Bucks,100.0,112.4,102.9,10.08,9.41,62.61,100.0
Los Angeles Clippers,91.15,113.9,107.6,6.44,6.66,75.65,62.7
Boston Celtics,90.41,113.3,107.0,6.31,5.83,70.43,67.46
Toronto Raptors,90.24,111.1,105.0,6.24,5.97,51.3,83.33
Los Angeles Lakers,89.65,112.0,106.3,5.79,6.28,59.13,73.02
Dallas Mavericks,87.15,116.7,111.7,4.95,4.87,100.0,30.16
Houston Rockets,81.43,112.9,110.1,2.96,3.13,66.96,42.86
Miami Heat,81.34,112.5,109.5,2.95,2.59,63.48,47.62
Utah Jazz,80.1,112.3,109.9,2.47,2.52,61.74,44.44
Philadelphia 76ers,79.83,111.3,109.0,2.38,2.25,53.04,51.59
Denver Nuggets,79.5,113.1,111.0,2.11,2.35,68.7,35.71
Oklahoma City Thunder,79.13,110.8,108.8,1.99,2.33,48.7,53.17
Indiana Pacers,78.71,110.0,108.0,1.96,1.63,41.74,59.52
Phoenix Suns,74.44,111.7,111.4,0.22,0.56,56.52,32.54
Brooklyn Nets,71.42,108.9,109.5,-0.57,-1.01,32.17,47.62
San Antonio Spurs,70.83,112.4,113.5,-1.11,-0.65,62.61,15.87
Orlando Magic,70.77,108.5,109.5,-1.01,-0.93,28.7,47.62
Portland Trail Blazers,70.69,113.7,114.8,-1.15,-0.61,73.91,5.56
Memphis Grizzlies,70.58,109.2,110.3,-1.07,-0.91,34.78,41.27
New Orleans Pelicans,70.52,110.7,111.9,-1.29,-0.55,47.83,28.57
Sacramento Kings,68.17,110.2,112.2,-2.04,-1.59,43.48,26.19
Chicago Bulls,64.09,106.7,109.8,-3.08,-4.0,13.04,45.24
Detroit Pistons,62.74,109.0,112.7,-3.56,-4.38,33.04,22.22
Minnesota Timberwolves,61.96,108.1,112.2,-4.3,-4.02,25.22,26.19
Washington Wizards,60.19,110.9,115.5,-4.67,-5.24,49.57,0.0
New York Knicks,55.3,106.5,113.0,-6.45,-6.72,11.3,19.84
Charlotte Hornets,54.26,106.3,113.3,-6.75,-7.03,9.57,17.46
Atlanta Hawks,51.99,107.2,114.8,-7.97,-7.71,17.39,5.56
Cleveland Cavaliers,51.62,107.5,115.4,-7.89,-7.77,20.0,0.79
Golden State Warriors,50.0,105.2,113.8,-8.71,-8.12,0.0,13.49
