,W,L,Team,WinPct
Phoenix Suns,53,19,Phoenix Suns,0.7361111111111112
Philadelphia 76ers,52,20,Philadelphia 76ers,0.7222222222222222
Los Angeles Lakers,51,22,Los Angeles Lakers,0.6986301369863014
Denver Nuggets,48,24,Denver Nuggets,0.6666666666666666
Utah Jazz,48,24,Utah Jazz,0.6666666666666666
Brooklyn Nets,47,25,Brooklyn Nets,0.6527777777777778
Indiana Pacers,48,26,Indiana Pacers,0.6486486486486487
Los Angeles Clippers,45,27,Los Angeles Clippers,0.625
Boston Celtics,41,32,Boston Celtics,0.5616438356164384
Dallas Mavericks,40,32,Dallas Mavericks,0.5555555555555556
Toronto Raptors,38,34,Toronto Raptors,0.5277777777777778
Atlanta Hawks,38,34,Atlanta Hawks,0.5277777777777778
Golden State Warriors,39,35,Golden State Warriors,0.527027027027027
Milwaukee Bucks,37,35,Milwaukee Bucks,0.5138888888888888
New Orleans Pelicans,36,36,New Orleans Pelicans,0.5
Washington Wizards,36,38,Washington Wizards,0.4864864864864865
Miami Heat,35,37,Miami Heat,0.4861111111111111
Sacramento Kings,35,37,Sacramento Kings,0.4861111111111111
San Antonio Spurs,35,38,San Antonio Spurs,0.4794520547945205
Memphis Grizzlies,34,40,Memphis Grizzlies,0.4594594594594595
Portland Trail Blazers,33,39,Portland Trail Blazers,0.4583333333333333
Chicago Bulls,33,39,Chicago Bulls,0.4583333333333333
New York Knicks,33,39,New York Knicks,0.4583333333333333
Minnesota Timberwolves,27,45,Minnesota Timberwolves,0.375
Cleveland Cavaliers,27,45,Cleveland Cavaliers,0.375
Detroit Pistons,27,45,Detroit Pistons,0.375
Charlotte Hornets,27,46,Charlotte Hornets,0.3698630136986301
Houston Rockets,21,51,Houston Rockets,0.2916666666666667
Oklahoma City Thunder,14,58,Oklahoma City Thunder,0.19444444444444445
Orlando Magic,8,64,Orlando Magic,0.1111111111111111
