Team,W,L,Home_W,Home_L,Away_W,Away_L,Last_10,WinPct,Home_WinPct,Away_WinPct
Phoenix Suns,53,19,28,8,25,11,[],0.736111111,0.777777778,0.694444444
Los Angeles Lakers,51,22,17,20,34,2,[],0.698630137,0.459459459,0.944444444
Denver Nuggets,48,24,17,19,31,5,[],0.666666667,0.472222222,0.861111111
Utah Jazz,48,24,34,2,14,22,[],0.666666667,0.944444444,0.388888889
Los Angeles Clippers,45,27,31,5,14,22,[],0.625,0.861111111,0.388888889
Dallas Mavericks,40,32,18,18,22,14,[],0.555555556,0.5,0.611111111
Golden State Warriors,39,35,20,17,19,18,[],0.527027027,0.540540541,0.513513514
New Orleans Pelicans,36,36,0,36,36,0,[],0.5,0,1
Sacramento Kings,35,37,0,36,35,1,[],0.486111111,0,0.972222222
San Antonio Spurs,35,38,21,15,14,23,[],0.479452055,0.583333333,0.378378378
Memphis Grizzlies,34,40,3,34,31,6,[],0.459459459,0.081081081,0.837837838
Portland Trail Blazers,33,39,27,9,6,30,[],0.458333333,0.75,0.166666667
Minnesota Timberwolves,27,45,4,32,23,13,[],0.375,0.111111111,0.638888889
Houston Rockets,21,51,3,33,18,18,[],0.291666667,0.083333333,0.5
Oklahoma City Thunder,14,58,1,35,13,23,[],0.194444444,0.027777778,0.361111111
